course_id,course_name,course_prerequisites,course_about
C_course-v1:TsinghuaX+10421094X_2015_2+sp,linear algebra autonomous mode,prerequisites,linear algebra one foundations modern mathematics extensive profound applications various fields natural sciences social sciences physics computer graphics engineering economics time linear algebra core requirement science engineering majors colleges universities important basic course course important required course students majoring non mathematics science engineering tsinghua university introduces basic concepts basic theories linear algebra solving linear equations matrix theory vector space linear transformation emphasizes theory application linear algebra combine linear algebra focuses solving linear equations introducing gaussian elimination method property operations decomposition matrices vector space orthogonal projection least squares method properties calculation determinants eigenvalues eigenvectors matrix diagonals ization properties real symmetric matrices basic knowledge points applications study course students mathematical logical thinking abstract thinking abilities cultivated students basic theoretical knowledge linear algebra master basic methods solving linear equations matrix operations matrix decomposition master english mathematical terminology expression specifications laying mathematical foundation subsequent learning improvement
C_course-v1:TsinghuaX+00740043X_2015_T2+sp,basics c language programming autonomous mode,courses required taking course,c object oriented programming language evolved c language object oriented programming method encapsulates data operations data interdependent inseparable whole object abstract common features objects type form class classes relationships outside world external interfaces objects communicate messages way relationship program modules simple independence program modules security data well guaranteed inheritance polymorphism program highly reusable making software development maintenance easier convenient due outstanding advantages object oriented method become main method used developing large scale software c language one widely used object oriented programming languages course introductory course beginners offered tsinghua university since teaching materials course used different majors schools including tsinghua university achieved good teaching results course uses c language introductory language computer programming college students introduces language detail also introduces commonly used data structures algorithms object oriented design ideas programming methods course uses object oriented programming methods throughout chapter first explains object oriented programming ideas methods starting practical problems elicits necessary grammar knowledge explaining grammar focuses learned programming methods angle tells meaning purpose course complete version course name tsinghua university comprehensive content moderate difficulty includes new content iso third edition c standard c courses divided fundamentals c language programming advanced c language programming lasting weeks fundamentals programming c language prerequisite courses content includes basic knowledge programming data representation basic operations functions overloading classes objects data sharing protection arrays pointers strings textbook c language programming th edition chapters c language programming th edition students book chapters advanced c language programming requires must first take fundamentals c language programming read chapters c language programming th edition content includes inheritance polymorphism operator overloading templates generic programming file io exception handling textbook c language programming th edition chapter c language programming th edition students book chapter
C_course-v1:TsinghuaX+30240184+sp,data structure part autonomous mode,see belowcommon knowledge,data structures key component computer science necessary foundation building efficient algorithms knowledge involved always core curriculum system related majors course aims focus design implementation various data structures revealing regular principles methods techniques time aims enable students understand master main routines methods algorithm design performance analysis topics taught range basic data structures recent research results
C_course-v1:TsinghuaX+10430484X_2015_2+sp,college physics mechanics thermal independent mode,basic middle school physics elementary calculus required,university physics course summarizes classic content physics discovery summary senior physicists crystallization wisdom many ideas methods university physics universal applicability immeasurable importance development sciences technologies college physics courses offered two semesters usually college physics mechanics thermal science spring semester college physics basics electromagnetism wave optics quantum physics fall semester teaching hours per semester compulsory course students tsinghua engineering department college physics courses usually present basic laws physics simply clearly reasonable explanations inferences supplemented classroom demonstration experiments based recognize understand natural phenomena learn physical methods solve practical problems mooc course break content college physics course many segments based videos minutes segment contains one two knowledge points however always keep mind learning process basic concepts basic methods contained knowledge points closely related think frequently pay attention integration taking account different foundations students choose courses divide content basic content without asterisk single asterisk content double asterisk content students outside tsinghua university require basic content course wish also ask requirements tsinghua students addition basic contents also required master single asterisk content content marked double asterisks additional content
C_course-v1:TsinghuaX+00690092X+sp,introduction logic autonomous mode,prerequisites,word logic commonly used subject course scope content involved logic much smaller scope daily usage word logic object study reasoning precisely effective forms reasoning valid form reasoning judge generate basic methods given logic introductory logic course non logic majors course focuses teaching specific content logic also making students understand basic ideas principles methods logic whether applied practice depends joint efforts main contents include brief history development logic home abroad reasoning compound propositions propositional calculus reasoning property propositions reasoning relational propositions overview predicate calculus introduction inductive reasoning preliminary steps non classical non standard logic etc
C_course-v1:TsinghuaX+10430494X_2015_2+sp,college physics electromagnetism optics quantum physics independent mode,basic middle school physics elementary calculus required basics multivariable calculus college physics also required,college physics basics electromagnetism wave optics quantum physics continuation college physics mechanics thermal somewhat related example optics uses knowledge chapters vibrations waves contents also involve concepts mechanics thermal science better study college physics college physics learned concepts knowledge mechanics thermal science past also study college physics directly electromagnetics part college physics covers basic content electromagnetism covers basic concepts knowledge due time limit optical part mainly talks interference diffraction polarization quantum physics part actually preliminary introduction quantum physics introducing basic concepts quantum physics learning quantum physics find classical concepts learned may wrong may many cases like say learned previously vain classical physics concepts applicable aspects limitations later briefly introduce atoms solids nuclei mainly using concepts quantum physics understand understand structures characteristics like college physics divide content basic content without asterisk single asterisk content double asterisk content students outside tsinghua university require basic content course wish also ask requirements tsinghua students addition basic contents also required master single asterisk content content marked double asterisks additional content
C_course-v1:TsinghuaX+30640014X+sp,living english listening speaking autonomous mode,prerequisites,important function language communication communication need know start topic party interested answer peoples questions complete conversation naturally smoothly course selects themes taught teachers students ages united states united kingdom canada australia colombia china using authentic expressions purest english real scenes take talk aspects daily life study course divided eight units unit theme namely introduction exchange personal information family friends diet dining purpose method english learning holiday activities unforgettable experiences interests hobbies emotional expression stay healthy topic consists ten dialogues group discussions foreign teachers introduction chinese western cultural differences chinese teachers explanations key vocabulary sentence patterns listening comprehension exercises oral tests study practice able converse freely english speaking friends discuss issues related topic many ways study course english learners continuously accumulate language materials process repeatedly listening reading dialogues practice dialogues friends around learners course english teachers choose appropriate topics course organize students listening speaking training organize efficient classes maybe cant understand entire content conversation need understand general idea course progresses understand lets take leap english listening speaking together course funded hong kong wei sun education fund google production process would like express gratitude
C_course-v1:GZHU+20180718001+2019_T1,dynamic geometry spring,prerequisites,geometric figures made computer screen maintain geometric relationships unchanged changes movements called dynamic geometric figures subject related theory application dynamic geometric figures dynamic geometry course uses countrys independently developed dynamic geometry software super sketchpad tool platform using functions animation tracking trajectory measurement transformation iteration programming calculation automatic reasoning etc wealth classic mathematics examples primary secondary university schools dynamically presents mathematical knowledge content plane geometry function images analytic geometry solid geometry probability statistics etc dynamic geometry moves geometric figures geometry exercise logical thinking spatial imagination also produce wonderful logical animations making mathematics intuitive fun interesting course new world computers mathematics intersect colorful graphic trajectories charming plane mosaics wonderful fractal worlds unexpected natural curves bizarre mathematical experiments see convergence integration mathematics art appreciate excellent perfect mathematical formula
C_course-v1:TsinghuaX+60240013X+sp,combinatorial mathematics autonomous mode,prerequisites,combinatorial mathematics branch mathematics developed rapidly emergence computers mainly studies existence counting construction discrete objects due promotion demand computer software combinatorial mathematics become subject broad profound development laid foundation computer revolution century changed dominance analysis algebra traditional mathematics course starts basic concepts permutation combination systematically introduces theories methods combinatorial counting main contents include basic rules counting generative function recursive relationship pigeonhole principle principle inclusion exclusion polya counting theorem although postgraduate course learners need basic knowledge mathematics physics start learning start basic permutations combinations gradually gain depth understanding different solutions counting problems deduction counting problems real life students joint experience continuous abstract depth mining process combined counting problems guide students jointly experience depth mathematical knowledge sophisticated deeply understand role combinatorial mathematics promoting development computer theory
C_course-v1:TsinghuaX+70660542X+2015_T2,advanced introduction law independent mode,course requires students master general legal theories possess basic legal theoretical frameworks knowledge structures legal thinking methods,course consists representative first lectures delivered well known professors various disciplines tsinghua law school new graduate students covering fields constitutional law legal theory legal history civil commercial law economic law administrative law international law etc comprehensively presents essence branch legal system explains depth research methods legal discipline enlightens law thinking leading students palace legal learning
C_course-v1:UST+UST001+sp,network technology applications autonomous mode,computer basics,network technology application course organizes teaching content based tcpip architecture fully reflects current mainstream network technology discusses workflow various protocols implementation various network technologies actual network environment working mechanism interaction process provide complete systematic introduction basic concepts basic knowledge basic principles field computer networks pay attention ability cultivation internet thinking cultivation covers examination requirements new version national computer rank examination level network technology ccna routing switching certification teaching process software experimental platform cisco packet tracer introduced visually demonstrate processing ip switches routers network equipment end end transmission ip packets step grouping details layer pdu transformation process demonstrates process designing configuring debugging networks sizes using cisco networking equipment case driven teaching method adopted content lecture integrated case implementation process case methods processes using knowledge point solve problems gradually demonstrated well interrelationship knowledge points course study students master knowledge base pass national computer rank examination level network technology ccna routing switching certification examination possess following abilities ability design interconnection networks like campus networks using wireless lan switched ethernet technologies ability use adsl ethernet solve internet access ability design general internet networks ability use packet filtering function routers firewalls solve general network security problems ability configure application servers computational thinking ability
C_course-v1:TsinghuaX+30150153X+sp,car engine principles autonomous mode,required take courses engineering thermodynamics fluid mechanics engine construction first,course consists two parts first part explains engines power output power energy conversion efficiency fuel economy perspective whole machine macroscopic perspective including engine performance indicators influencing factors fuel working fluid thermochemistry working cycle energy utilization ventilation process intake air charge operating characteristics vehicle matching etc second part explains combustion process emission characteristics engine local microscopic perspective including basic knowledge combustion mixture formation combustion diesel gasoline engines harmful substance generation mechanism control new combustion methods alternative fuel engines wait course teaching comparative analysis gasoline engines diesel engines always carried students better understand working principle engines
C_course-v1:TsinghuaX+70150023X+sp,car theory autonomous mode,calculus theoretical mechanics mechanics materials automobile construction vibration theory,automotive theory course required course students majoring vehicle engineering automotive engineering also provide necessary knowledge automotive industry depth understanding automobiles automobile theory uses dynamic methods explore evaluate automobile performance establish relationship automobile performance automobile structural parameters study improve automobile dynamic performance automobile theory mooc course includes six chapters chapter power car chapter fuel economy car chapter selection parameters cars power plant chapter braking performance car chapter handling stability car chapter ride comfort car chapter basically starts evaluate performance establishes relationship performance evaluation indicators vehicle structural parameters discusses main factors affect performance indicators methods improve performance believe course guide perceptual understanding cars rational understanding
C_course-v1:TsinghuaX+30240243X+sp,operating system autonomous mode,data structure assembly language computer composition principles,operating system core system software computer system responsible managing various software hardware resources provides good environment operation application software mastering basic principles operating systems core technologies basic requirement undergraduate computer science graduates research oriented universities course core course computer majors uses mainstream operating systems examples teaching operating system ucore experimental environment teaches concepts basic principles implementation techniques operating systems prepares students research development operating system software full use operations system functions lay solid foundation application software research development course wiki page httposcstsinghuaeducnoscourseosspring course qa communication area httpspiazzacomtsinghuaeducnspringxhome course experiments exercises httpcherrycstsinghuaeducncoursestsinghuacs tinfo currently accessible within tsinghua campus network
