course_id,course_name,course_prerequisites,course_about
C_course-v1:TsinghuaX+10421094X_2015_2+sp,linear algebra(1) (autonomous mode),no prerequisites,linear algebra is one of the foundations of modern mathematics it has extensive and profound applications in various fields of natural sciences and social sciences such as physics computer graphics engineering and economics at the same time linear algebra is a core requirement of science and engineering majors in colleges and universities an important basic course this course is an important required course for students majoring in non mathematics science and engineering at tsinghua university it introduces the basic concepts and basic theories of linear algebra such as solving linear equations matrix theory vector space and linear transformation and emphasizes the theory and application of linear algebra combine linear algebra 1 focuses on solving linear equations introducing gaussian elimination method property operations and decomposition of matrices vector space orthogonal projection and least squares method properties and calculation of determinants eigenvalues eigenvectors and matrix diagonals ization properties of real symmetric matrices and other basic knowledge points and their applications through the study of this course students mathematical logical thinking and abstract thinking abilities are cultivated so that students have basic theoretical knowledge of linear algebra master the basic methods of solving linear equations matrix operations and matrix decomposition and master english mathematical terminology and expression specifications  laying a mathematical foundation for subsequent learning and improvement 
C_course-v1:TsinghuaX+00740043X_2015_T2+sp,basics of c++ language programming (autonomous mode),what courses are required before taking this course.,"
c is an object oriented programming language that evolved from the c language the object oriented programming method encapsulates data and operations on the data as an interdependent and inseparable whole   an object abstract the common features of objects of the same type to form a class classes have relationships with the outside world through external interfaces and objects communicate through messages in this way the relationship between program modules is simple the independence of program modules and the security of data are well guaranteed through inheritance and polymorphism the program is highly reusable making software development and maintenance easier convenient


due to the outstanding advantages of the object oriented method it has become the main method used in developing large scale software the c language is one of the most widely used object oriented programming languages


this course is an introductory course for beginners it has been offered at tsinghua university since 1999 the teaching materials of this course have been used in different majors in more than 100 schools including tsinghua university and have achieved good teaching results


this course uses c language as an introductory language for computer programming for college students it not only introduces the language itself in detail but also introduces commonly used data structures and algorithms object oriented design ideas and programming methods the course uses object oriented programming methods throughout each chapter first explains the object oriented programming ideas and methods starting with practical problems and then elicits the necessary grammar knowledge when explaining the grammar it focuses on what is learned from the programming methods angle tells its meaning and purpose


this course is a complete version of the course of the same name at tsinghua university it is comprehensive in content and moderate in difficulty it includes new content of the iso third edition c standard c11


the courses are divided into fundamentals of c language programming and advanced c language programming each lasting 8 weeks


fundamentals of programming in c language has no prerequisite courses and the content includes basic knowledge of programming data representation and basic operations functions and overloading classes and objects data sharing and protection arrays pointers and strings textbook c language programming 4th edition chapters 1 6 c language programming 4th edition students book chapters 1 6


advanced c language programming requires that you must first take fundamentals of c language programming or read chapters 1 6 of c language programming 4th edition content includes inheritance and polymorphism operator overloading templates and generic programming file io and exception handling textbook c language programming 4th edition chapter 7 12 c language programming 4th edition students book chapter 7 12
"
C_course-v1:TsinghuaX+30240184+sp,data structure (part 1) (autonomous mode),see below【common knowledge】,"
data structures are a key component of computer science and a necessary foundation for building efficient algorithms the knowledge involved has always been at the core of the curriculum system of related majors this course aims to focus on the design and implementation of various data structures revealing the regular principles and methods and techniques at the same time it aims to enable students to understand and master the main routines and methods for algorithm design and performance analysis the topics taught range from basic data structures to recent research results
"
C_course-v1:TsinghuaX+10430484X_2015_2+sp,"college physics 1 (mechanics, thermal) (independent mode)",basic middle school physics and elementary calculus are required.,the university physics course summarizes the classic content of physics which is the discovery and summary of senior physicists and is the crystallization of wisdom many ideas and methods in university physics have universal applicability and are of immeasurable importance to the development of other sciences and technologies college physics courses are offered in two semesters usually college physics 1 mechanics thermal science in the spring semester and college physics 2 basics of electromagnetism wave optics and quantum physics in the fall semester there are 60 teaching hours per semester and it is a compulsory course for students in tsinghua engineering department college physics courses usually present the basic laws of physics simply and clearly through reasonable explanations or inferences supplemented by classroom demonstration experiments based on this you can recognize and understand natural phenomena and learn physical methods to solve practical problems as a mooc course we break down the content of the college physics course into many segments based on videos of about 10 minutes and each segment contains one or two knowledge points however we should always keep in mind during the learning process that the basic concepts and basic methods contained in these knowledge points are closely related we should think about them frequently and pay attention to integration taking into account the different foundations of students who choose courses we divide the content into basic content without asterisk single asterisk content and double asterisk content students outside tsinghua university only require basic content of course if you wish you can also ask for the same requirements as tsinghua students that is in addition to these basic contents you are also required to master the single asterisk content content marked with double asterisks is additional content 
C_course-v1:TsinghuaX+00690092X+sp,introduction to logic (autonomous mode),no prerequisites,"the word logic is commonly used but as a subject and course the scope of content involved in logic is much smaller than the scope of daily usage of the word logic its object of study is reasoning more precisely effective forms of reasoning what is a valid form of reasoning how to judge how to generate basic methods should be given in logic
   as an introductory logic course for non logic majors this course focuses not only on teaching the specific content of logic but also on making students understand the basic ideas principles and methods of logic whether and how it can be applied in practice depends on our joint efforts
the main contents include a brief history of the development of logic at home and abroad reasoning about compound propositions propositional calculus reasoning about property propositions reasoning about relational propositions an overview of predicate calculus an introduction to inductive reasoning preliminary steps in non classical non standard logic etc "
C_course-v1:TsinghuaX+10430494X_2015_2+sp,"college physics 2 (electromagnetism, optics and quantum physics) (independent mode)",basic middle school physics and elementary calculus are required. some basics of multivariable calculus and college physics 1 are also required.,"
college physics 2 basics of electromagnetism wave optics and quantum physics is the continuation of college physics 1 mechanics thermal and is somewhat related for example optics uses knowledge from the chapters on vibrations and waves other contents will also involve concepts of mechanics or thermal science so it is better to study college physics 1 and then college physics 2 if you have learned some concepts and knowledge of mechanics and thermal science in the past you can also study college physics 2 directly


the electromagnetics part of college physics 2 covers the basic content of electromagnetism but only covers the most basic concepts and knowledge due to the time limit the optical part mainly talks about interference diffraction and polarization the quantum physics part is actually just a preliminary introduction to quantum physics introducing the most basic concepts of quantum physics when learning quantum physics we will find that some of the classical concepts we have learned before may be wrong and there may be many cases like this this is not to say that what you have learned previously is in vain classical physics concepts have their applicable aspects and their limitations later we will briefly introduce atoms solids and nuclei mainly using the concepts of quantum physics to understand and understand their structures and characteristics


like college physics 1 we divide the content into basic content without asterisk single asterisk content and double asterisk content students outside tsinghua university only require basic content of course if you wish you can also ask for the same requirements as tsinghua students that is in addition to these basic contents you are also required to master the single asterisk content content marked with double asterisks is additional content
"
C_course-v1:TsinghuaX+30640014X+sp,living english listening and speaking (autonomous mode),no prerequisites,"
the most important function of language is communication in communication we need to know how to start a topic that the other party is interested in answer other peoples questions and complete a conversation naturally and smoothly this course selects 8 themes and is taught by more than 50 teachers and students of all ages from the united states the united kingdom canada australia colombia and china using the most authentic expressions and the purest english in real scenes take you to talk about all aspects of daily life and study


this course is divided into eight units each unit has a theme namely


1 introduction and exchange of personal information


2 our family and friends


3 diet and dining


4 the purpose and method of english learning


5 holiday activities and unforgettable experiences


6 interests and hobbies


7 emotional expression


8 stay healthy


each topic consists of more than ten dialogues and group discussions foreign teachers introduction to chinese and western cultural differences chinese teachers explanations of key vocabulary and sentence patterns listening comprehension exercises and oral tests through study and practice you will be able to converse freely with your english speaking friends and discuss any issues related to the topic there are many ways to study this course english learners can continuously accumulate language materials in the process of repeatedly listening and reading dialogues and practice dialogues with friends around you or learners in the same course english teachers can choose appropriate topics in this course and organize students to listening and speaking training organize efficient classes maybe you cant understand the entire content of each conversation you just need to understand the general idea as the course progresses you will understand more and more lets take a leap in english listening and speaking together


this course was funded by the hong kong wei sun education fund and google during the production process we would like to express our gratitude to you
"
C_course-v1:GZHU+20180718001+2019_T1,dynamic geometry (spring 2019),no prerequisites,"if the geometric figures made on the computer screen can maintain their geometric relationships unchanged during changes and movements they are called dynamic geometric figures the subject related to the theory and application of dynamic geometric figures is dynamic geometry 
this course uses my countrys independently developed dynamic geometry software   super sketchpad as a tool platform using functions such as animation tracking trajectory measurement transformation iteration programming calculation automatic reasoning etc through a wealth of classic mathematics examples in primary secondary and university schools  dynamically presents mathematical knowledge content such as plane geometry function images analytic geometry solid geometry probability and statistics etc dynamic geometry moves geometric figures so that geometry can not only exercise logical thinking and spatial imagination but also produce wonderful logical animations making mathematics more intuitive fun and interesting 
this course is a new world where computers and mathematics intersect there are colorful graphic trajectories charming plane mosaics wonderful fractal worlds unexpected natural curves and bizarre mathematical experiments you can see the convergence and integration of mathematics and art and appreciate it excellent and perfect mathematical formula "
C_course-v1:TsinghuaX+60240013X+sp,combinatorial mathematics (autonomous mode),no prerequisites,"
combinatorial mathematics is a branch of mathematics that developed rapidly after the emergence of computers it mainly studies the existence counting and construction of discrete objects due to the promotion and demand of computer software combinatorial mathematics has become a subject that is both broad and profound its development laid the foundation for the computer revolution of this century and changed the dominance of analysis and algebra in traditional mathematics this course starts from the basic concepts of permutation and combination and systematically introduces the theories and methods of combinatorial counting the main contents include the basic rules of counting the generative function and the recursive relationship the pigeonhole principle and the principle of inclusion and exclusion and the polya counting theorem although this is a postgraduate course learners only need basic knowledge of mathematics and physics to start learning we will start with basic permutations and combinations and gradually gain an in depth understanding of different solutions to counting problems through the deduction of counting problems in real life and students joint experience of the continuous abstract and in depth mining process of combined counting problems we will guide students to jointly experience the depth of mathematical knowledge sophisticated so as to deeply understand the role of combinatorial mathematics in promoting the development of computer theory
"
C_course-v1:TsinghuaX+70660542X+2015_T2,advanced introduction to law (independent mode),"this course requires students to master general legal theories and possess basic legal theoretical frameworks, knowledge structures and legal thinking methods.",this course consists of representative first lectures delivered by well known professors from various disciplines at tsinghua law school for new graduate students covering the fields of constitutional law legal theory legal history civil and commercial law economic law administrative law international law etc it comprehensively presents the essence of each branch of the legal system explains in depth the research methods of the legal discipline and further enlightens the law thinking leading students into the palace of legal learning 
C_course-v1:UST+UST001+sp,network technology and applications (autonomous mode),computer basics.,"

the network technology and application course organizes teaching content based on the tcpip architecture fully reflects the current mainstream network technology and discusses the workflow of various protocols and the implementation of various network technologies in the actual network environment the working mechanism and the interaction process between them provide a complete and systematic introduction to the basic concepts basic knowledge and basic principles in the field of computer networks pay attention to ability cultivation and internet thinking cultivation covers the examination requirements for the new version of the national computer rank examination level 3  network technology ccna routing and switching certification 


during the teaching process the software experimental platform cisco packet tracer is introduced to visually demonstrate the processing of ip by switches routers and other network equipment during the end to end transmission of ip packets each step of grouping the details of each layer pdu and the transformation process demonstrates the process of designing configuring and debugging networks of all sizes using cisco networking equipment 


the case driven teaching method is adopted and the content of each lecture is integrated into the case through the implementation process of the case the methods and processes of using each knowledge point to solve problems are gradually demonstrated as well as the interrelationship between the knowledge points 


through course study students can master the knowledge base to pass the national computer rank examination level 3 network technology ccna routing and switching certification examination and possess the following abilities 


1 the ability to design interconnection networks like campus networks using wireless lan and switched ethernet technologies 


2 the ability to use adsl or ethernet to solve internet access 


3 ability to design general internet networks 


4 the ability to use the packet filtering function of routers or firewalls to solve general network security problems 


5 the ability to configure application servers 


6 computational thinking ability 


 




"
C_course-v1:TsinghuaX+30150153X+sp,car engine principles (autonomous mode),"it is required to take courses such as ""engineering thermodynamics"", ""fluid mechanics"", and ""engine construction"" first.",the course consists of two parts the first part explains the engines power output that is power and energy conversion efficiency that is fuel economy from the perspective of the whole machine and the macroscopic perspective including engine performance indicators and influencing factors fuel working fluid and thermochemistry working cycle and energy utilization ventilation process and intake air charge operating characteristics and vehicle matching etc the second part explains the combustion process and emission characteristics of the engine from a local and microscopic perspective including basic knowledge of combustion mixture formation and combustion of diesel and gasoline engines harmful substance generation mechanism and control new combustion methods and alternative fuel engines wait during the course teaching the comparative analysis of gasoline engines and diesel engines is always carried out so that students can better understand the working principle of the engines 
C_course-v1:TsinghuaX+70150023X+sp,car theory (autonomous mode),"calculus, theoretical mechanics, mechanics of materials, automobile construction, vibration theory","the automotive theory course is a required course for students majoring in vehicle engineering and automotive engineering it can also provide the necessary knowledge for those in the automotive industry to have an in depth understanding of automobiles
automobile theory uses dynamic methods to explore how to evaluate automobile performance establish the relationship between automobile performance and automobile structural parameters and study how to improve automobile dynamic performance the automobile theory mooc course includes six chapters chapter 1 the power of the car chapter 2 the fuel economy of the car chapter 3 the selection of the parameters of the cars power plant chapter 4 the braking performance of the car  chapter 5 the handling stability of the car chapter 6 the ride comfort of the car each chapter basically starts with how to evaluate the performance then establishes the relationship between performance evaluation indicators and vehicle structural parameters discusses the main factors that affect performance indicators and methods to improve performance we believe that this course will guide you from a perceptual understanding of cars to a rational understanding "
C_course-v1:TsinghuaX+30240243X+sp,operating system (autonomous mode),"data structure, assembly language, computer composition principles","
the operating system is the core system software in the computer system that is responsible for managing various software and hardware resources and provides a good environment for the operation of application software mastering the basic principles of operating systems and their core technologies is a basic requirement for undergraduate computer science graduates from research oriented universities 

this course is a core course for computer majors it uses mainstream operating systems as examples and the teaching operating system ucore as the experimental environment it teaches the concepts basic principles and implementation techniques of operating systems and prepares students for the research and development of operating system software and the full use of operations system functions to lay a solid foundation for application software research and development 

course wiki page httposcstsinghuaeducnoscourseos2018spring

course qa and communication area httpspiazzacomtsinghuaeducnspring201530240243xhome

course experiments and exercises httpcherrycstsinghuaeducncoursestsinghuacs1012015 t1info currently only accessible within tsinghua campus network



"
C_course-v1:NCTU+wghx+2017_T1,the world of microscopic chemistry (autonomous mode),"high school chemistry, familiar with trigonometric functions and their graphs, exponential and logarithmic functions and their graphs, and calculus",chemistry is a science based on experiments and its principles will be revised with the emergence of new experimental techniques and new physical theories what is interesting is that the old principles of chemistry will not be completely overthrown by the establishment of new theories and new theories often need the help of old principles to allow people to see a more complete microscopic world this course will explain the source of the chemical activity of atoms and molecules from the total number of electrons the geometric space of their distribution and their motion patterns and then explain the principles of optical and electromagnetic phenomena in the microscopic molecular world
C_course-v1:TsinghuaX+64100033X+SP,big data system foundation (autonomous mode),"have knowledge of programming languages ​​(java or c), database principles, and operating systems.",through this course you will understand the tool platform development environment and basic principles of big data management become familiar with the characteristics of typical big data tools and platforms and master the basic development methods of big data processing on the basis of introducing the use of typical system tools by analyzing their implementation principles and design theories it enhances students application and development capabilities of big data tools and platforms and also creates a foundation for students who are interested in continuing to study big data professional courses in depth specific course content includes introduction cloud computing file storage computing framework memory computing nosql stream data processing etc 
C_course-v1:MITx+6_00_1x+sp,introduction to computer science and python programming (independent mode),advanced high school algebra knowledge and reasonable mathematical ability,this course is the first half of a two part course introduction to computer science and python programming and introduction to computational thinking and data science the two part course is designed to help people who have never been exposed to computer science or programming before learn to think computationally and write programs to solve problems some students who take the two part course will use it as a foundation for advanced computer science courses but most will take it as their first and last computer science course because these courses may be the only formal computer science courses for many students we focus more on breadth than depth of knowledge the goal is to help students learn more about the subject in a nutshell so that they have some idea when they need to consider how to use computational methods to accomplish certain goals later in their careers in other words this is not an intensive computing course these challenging and rigorous courses require students to spend a lot of time and energy learning to make computers work the way they want introduction to computer science and introduction to python programming includes an informal introduction to computing concepts the python programming language some simple algorithms testing and debugging algorithmic complexity some simple algorithms and data structures
C_course-v1:Stanford+WomensHealth+sp,international women's health and human rights (autonomous model),no prerequisites,"
this course provides an overview of womens health and rights from infancy and childhood to adolescence childbearing and old age we take into account economic social political human rights and other factors as well as the challenges women face to maintain health and control their lives in the face of social pressures and barriers


we focus on critical content content that is a matter of life and death for a woman depending on whether she can exercise her human rights these key elements include discrimination as a result of being born female poverty unequal access to education access to food remuneration for work and health care and various forms of violence topics covered include son preference education hivaids reproductive health domestic violence war violence refugee settings womens work sex trade and ageing


our massive open online courses moocs focus specifically on creating an international network of relevant students we will engage students in interactive discussions participate in collaborative exercises and share their experiences we also engage students in their communities to deepen their understanding of what they learn and to connect academic ideas to real life concrete practices
"
C_course-v1:CSU+2018020201X+sp,topic english (independent mode),no prerequisites,"
this course is a useful step for college students to improve their international vision and cross cultural communication skills this course is divided into modules according to themes to discuss with you how to learn english the course content revolves around 16 major themes college life fast food world healthy habits personal heroes bilingual education love and marriage money issues space mysteries immigration issues disaster response scholarly campus global lingua franca competitive spirit and extreme enjoyment  genes and personality diverse communication the learning of each topic includes modules such as lexical chunks sentence patterns discourse logic and subject matter inquiry from language knowledge teaching to thinking logic training then to the improvement of ideological content they are linked together and promoted step by step
"
C_course-v1:HUBU+2017022703X+sp,english voice (autonomous mode),a certain level of english is required,"
the main contents of this course include english vowels consonants voice changes stress and intonation covering the main english phonetic knowledge this course is taught in the school for 16 weeks and is taught to first year undergraduate students majoring in english the number of students in each class is about 150 after one semester of study most students can initially master the basic knowledge of english pronunciation and improve their pronunciation level to a certain extent however english pronunciation learning is a long term process so the learning effect of the course is closely related to the time and energy invested by the students 
"
C_course-v1:TsinghuaX+10610193X+sp,outline of modern and contemporary chinese history (independent mode),no prerequisites,"
this course is based on the textbook outline of modern and contemporary chinese history as a textbook for ideological and political theory courses in colleges and universities it teaches the chinese people since 1840 how to resist foreign aggression explore the way out for the country strive for national independence realize peoples liberation establish a new china and build a new country the great process of socialist modernization this course is mainly based on online teaching combined with a large number of video and text materials and supplemented by group discussions and other forms it strives to focus on the research frontier integrate contemporary scientific and academic aspects and cultivate students historical awareness and awareness of the times helping students gain a deeper understanding of national history and national conditions and a deeper understanding of history and
how did the people choose marxism the communist party of china the socialist road and reform and opening up
"
C_course-v1:TsinghuaX+00690863X+sp,appreciation of tang and song poetry (independent mode),no prerequisites,"
this course is one of the tang and song poetry appreciation national quality courses and national resource sharing courses hosted by professor wang bugao the course starts from the definition and origin of ci and systematically teaches the representative writers representative works and important schools of ci of the tang and song dynasties it focuses on the works but also covers the writers the history of ci of the tang and song dynasties and the history folk customs and humanistic spirit of the song dynasty through the study of this course students will have a more comprehensive and systematic understanding of tang and song poetry and at the same time they can improve their poetry reading appreciation and criticism abilities


the speaker professor wang bugao is a disciple of tang guizhang a master of poetry he assisted tang in editing the dictionary of appreciation of tang and song poems he is good at poetry writing and has written extensively in the field of poetry this course is one of the most popular courses among students at tsinghua university and southeast university 
"
